,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,clusters_3,clusters_4,clusters_5
220,40335,The Promise,2017-04-21,,"History, Drama",220251940939775547e74ee525e7a500,twitter,search_term,t,101,7769,"['History', 'Drama']",History,2017,7,90000000.0,Open Road Films,PG-13,Original,No,8224288,Documentary,93869152.3,HighBudget,8577854.92,3,223,Top100+,1,1,1
221,12357,Sausage Party,2016-08-12,,"Adventure, Animation, Comedy",0d212a5cea2b203fb7a641089b616b24,facebook,search_term,t,101,7769,"['Adventure', 'Animation', 'Comedy']",Adventure,2016,6,19000000.0,Sony Pictures,R,Original,No,97670358,Adventure,20238941.13,MediumBudget,104039190.82,2,193,Top100+,2,0,3
222,32806,T2 Trainspotting,2017-03-17,,Drama,d7d0e4c9e86a2efcad1675117e4cd7bc,twitter,search_term,t,101,7769,['Drama'],Drama,2017,7,18000000.0,Sony Pictures,R,Not Original,Yes,51012359,Drama,18773830.46,MediumBudget,53205409.96,3,193,Top100+,1,1,4
223,61092,Need for Speed,2014-03-14,,Action,b85925bbd07642e0223cc34c08071a15,instagram,page,t,101,7769,['Action'],Action,2014,4,66000000.0,Walt Disney Pictures,PG-13,Not Original,No,43568507,Action,71275081.19,HighBudget,47050740.51,1,4,Top5,2,0,3
224,61096,Sabotage,2014-03-28,,"Drama, Action, Thriller",885ab6760680b01064ab0c67dac7a44f,twitter,search_term,t,101,7769,"['Drama', 'Action', 'Thriller']",Drama,2014,4,35000000.0,Open Road Films,R,Original,No,10508518,Drama,37797391.54,MediumBudget,11348416.27,1,223,Top100+,0,2,2
225,36483,Alpha (2018),2018-08-17,,"Action, Drama, Thriller",ea5f7e8f1623ecb08823f98bdf666ad6,twitter,search_term,t,101,7769,"['Action', 'Drama', 'Thriller']",Action,2018,8,51000000.0,Sony Pictures,PG-13,Original,No,99600000,Action,51924227.14,HighBudget,101404961.23,3,193,Top100+,0,0,3
226,41146,Pitch Perfect 3,2017-12-22,CMCSA,"Comedy, Music",6f646e0c4327971e6bfc444d213f4767,facebook,search_term,t,101,7769,"['Comedy', 'Music']",Comedy,2017,7,45000000.0,Universal Pictures,PG-13,Not Original,Yes,104897530,Comedy,46934576.15,MediumBudget,109407135.77,3,3,Top5,1,1,4
227,10610,Ouija,2014-10-24,CMCSA,"Thriller, Action, Adventure",6ff5c65668607f475b2bce1b8c52a62e,facebook,search_term,t,101,7769,"['Thriller', 'Action', 'Adventure']",Thriller,2014,4,5000000.0,Universal Pictures,PG-13,Not Original,Yes,50856010,Thriller,5399627.36,LowBudget,54920700.63,1,3,Top5,0,2,2
228,37022,Justice League,2017-11-17,T,"Action, Fantasy, Adventure",3b2f9ef00082107d406db0c1013cc15f,facebook,search_term,t,101,7769,"['Action', 'Fantasy', 'Adventure']",Action,2017,7,300000000.0,Warner Bros.,PG-13,Not Original,Yes,229024295,Action,312897174.34,HighBudget,238870182.53,3,1,Top5,2,0,3
229,10692,Wish I Was Here,2014-07-18,CMCSA,"Drama, Comedy",e98fd7b143bc81ad5b95a416dd9cecec,twitter,search_term,t,101,7769,"['Drama', 'Comedy']",Drama,2014,4,6000000.0,Focus Features,R,Original,No,3591299,Drama,6479552.84,MediumBudget,3878335.27,1,81,Top100,1,1,4
