,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
148,18148,Legend,2015-11-20,CMCSA,"Drama, Biography, Crime",f5a0ee09bdfac984789034f04a4fb0af,facebook,page,t,101,7769,"['Drama', 'Biography', 'Crime']",Drama,2015,5,25000000.0,Universal Pictures,R,Not Original,No,15502112,Drama,-0.573231811332006,MediumBudget,-0.6035025433166379,2,3,Top5,5
149,44878,The Predator (2018),2018-09-14,FOXA,"Adventure, Action, Horror",bd2b567fe92a51754558447bb32b678c,facebook,search_term,t,101,7769,"['Adventure', 'Action', 'Horror']",Adventure,2018,8,88000000.0,20th Century Fox,R,Original,No,160500000,Adventure,0.32174981703452504,HighBudget,0.12170250287354174,3,7,Top100,3
150,61082,3 Days to Kill,2014-02-21,,"Action, Drama, Thriller",30e3843b9a84a1f08c1a725b5c3b2106,facebook,search_term,t,101,7769,"['Action', 'Drama', 'Thriller']",Action,2014,4,28000000.0,Relativity Media,PG-13,Original,No,30697999,Action,-0.5264772899727621,MediumBudget,-0.5222732351566592,1,8,Top100,9
151,41144,Murder on the Orient Express,2017-11-10,FOXA,"Mystery, Drama",60b095dcb0d244181fe54616e1d27df1,twitter,search_term,t,101,7769,"['Mystery', 'Drama']",Mystery,2017,7,55000000.0,20th Century Fox,PG-13,Remake,No,102826543,Thriller,-0.13883040449822875,HighBudget,-0.15595335125481818,3,7,Top100,8
152,22205,The Magnificent Seven,2016-09-23,,"Western, Action",77020ef53d432e8a1b22768f55096b54,facebook,search_term,t,101,7769,"['Western', 'Action']",Western,2016,6,90000000.0,Sony Pictures,PG-13,Remake,No,93432655,Adventure,0.4114060866113462,HighBudget,-0.19412981523496164,2,193,Top100+,8
153,57549,Goodbye Christopher Robin,2017-10-13,FOXA,Drama,12de57cc5b4903170a850461740e7d68,twitter,search_term,t,101,7769,['Drama'],Drama,2017,7,2000000.0,Fox Searchlight Pictures,PG,Not Original,No,7200000,Drama,-0.9287769282221492,LowBudget,-0.6490444044821363,3,79,Top100,1
154,131226,Pavarotti,2019-06-07,CBS,"Music, Documentary, Biography",262252bcc64466bb64facfdec4c8995d,instagram,page,t,101,7769,"['Music', 'Documentary', 'Biography']",Music,2019,9,19000000.0,CBS Films,PG-13,Not Original,No,7200000,Family,-0.6870704746915046,MediumBudget,-0.6505746957027884,4,201,Top100+,0
155,155879,Wendy,2020-02-28,FOXA,"Fantasy, Drama",b55759ed1811925db8f10f4bdc335258,instagram,page,t,101,7769,"['Fantasy', 'Drama']",Fantasy,2020,10,6000000.0,Fox Searchlight Pictures,PG-13,Not Original,No,143518,Fantasy,-0.8728444131990946,LowBudget,-0.6854611248077985,5,79,Top100,0
156,25861,Resident Evil: The Final Chapter,2017-01-27,,"Horror, Sci Fi, Action",70af9e49b741b8304211d44be2f17d56,facebook,search_term,t,101,7769,"['Horror', 'Sci Fi', 'Action']",Horror,2017,7,40000000.0,Sony Pictures,R,Not Original,Yes,26844692,Horror,-0.36240017526372675,MediumBudget,-0.5477480325073361,3,193,Top100+,1
157,41137,Insidious: The Last Key,2018-01-05,CMCSA,"Horror, Mystery, Thriller",ba5e2998cccc0f610c0e5c2ba8614432,facebook,page,t,101,7769,"['Horror', 'Mystery', 'Thriller']",Horror,2018,8,10000000.0,Universal Pictures,PG-13,Original,Yes,67745330,Horror,-0.8130934982146036,MediumBudget,-0.345176056183324,3,3,Top5,8
